title;slug;status;enabled;sku;price;stock;weight;description;coverImage;thumbnailImage;thumbnailHiddenImage;dimensions;origin;age;quote;quoteAuthor;quoteBackgroundColor;quoteExternalLinkURL;quoteExternalLinkLabel;textAndImageText;textAndImageImage;fullWidthImageImage;productCategory;productType;ageCategory;dimensionsRange;material;;;;
Glass console table;Glass console table;Enabled;Enabled;20990;795;1; 59,98 [lbs] ;No description yet;;;;H 31,5 x W 29,53 x D 11,81;Italy;1970;;;;;;;;;;;20th Century;;;;;;
Wooden table with original patina;Wooden table with original patina;Enabled;Enabled;21470;1895;1;66,15 [lbs];No description yet;;;;H 30,31 x W 58,27 x D 24,8;Spain;1900;;;;;;;;;;;20th Century;;;;;;
Wooden storage shelf;Wooden storage shelf;Enabled;Enabled;21555;795;1;62,62 [lbs];No description yet;;;;H 31,3 x W 75,59 x D 15,35;France;1900;;;;;;;;;;;20th Century;;;;;;
Pair of wooden armchairs by J. Halabala;Pair of wooden armchairs by J. Halabala;Enabled;Enabled;21562;1795;2;39,03 [lbs];No description yet;;;;H 33,07 x W 25,98 x D 34,25;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Wooden drawer;Wooden drawer;Enabled;Enabled;21811;1795;1;160,97 [lbs];No description yet;;;;H 32,68 x W 48,43 x D 20,47;Belgium;1920;;;;;;;;;;;20th Century;;;;;;
Leather upholstered sofa by De Sede;Leather upholstered sofa by De Sede;Enabled;Enabled;22049;2795;1;141,12 [lbs];No description yet;;;;H 28,35 x W 81,1 x D 38,58;Switzerland;1960;;;;;;;;;;;20th Century;;;;;;
Wooden work table;Wooden work table;Enabled;Enabled;22062;1095;1;130,1 [lbs];No description yet;;;;H 31,5 x W 39,57 x D 26,38;France;1900;;;;;;;;;;;20th Century;;;;;;
Pair of wood painted mirrors;Pair of wood painted mirrors;Enabled;Enabled;22157;295;2;2,21 [lbs];No description yet;;;;H 11,61 x W 9,06 x D 1,97;France;1880;;;;;;;;;;;19th Century;;;;;;
Wood white painted mirror;Wood white painted mirror;Enabled;Enabled;22159;295;1;5,95 [lbs];No description yet;;;;H 20,08 x W 18,9 x D 1,97;France;1900;;;;;;;;;;;20th Century;;;;;;
Wood white painted mirror;Wood white painted mirror;Enabled;Enabled;22160;150;1;1,54 [lbs];No description yet;;;;H 14,17 x W 11,81 x D 0,59;France;1880;;;;;;;;;;;19th Century;;;;;;
Wood white painted mirror;Wood white painted mirror;Enabled;Enabled;22161;325;1;5,29 [lbs];No description yet;;;;H 21,65 x W 18,5 x D 1,57;France;1900;;;;;;;;;;;20th Century;;;;;;
Gilded wood mirror;Gilded wood mirror;Enabled;Enabled;22163;250;1;5,73 [lbs];No description yet;;;;H 17,72 x W 15,75 x D 2,36;France;1920;;;;;;;;;;;20th Century;;;;;;
